"","pid","incorrect","correct","incorrectPct","correctPct","totalN"
"1",1,75,885,7.812,92.188,960
"2",2,39,678,5.439,94.561,717
"3",3,165,664,19.903,80.097,829
"4",4,250,698,26.371,73.629,948
"5",5,119,835,12.474,87.526,954
"6",6,97,859,10.146,89.854,956
"7",7,64,887,6.73,93.27,951
"8",8,52,659,7.314,92.686,711
"9",9,187,750,19.957,80.043,937
"10",10,19,934,1.994,98.006,953
"11",11,209,372,35.972,64.028,581
"12",12,134,584,18.663,81.337,718
"13",13,86,861,9.081,90.919,947
"14",14,171,733,18.916,81.084,904
"15",15,130,461,21.997,78.003,591
"16",16,102,856,10.647,89.353,958
"17",17,129,570,18.455,81.545,699
"18",18,173,777,18.211,81.789,950
"19",19,218,617,26.108,73.892,835
"20",20,166,734,18.444,81.556,900
"21",21,153,800,16.055,83.945,953
"22",22,236,719,24.712,75.288,955
"23",23,101,735,12.081,87.919,836
"24",24,181,749,19.462,80.538,930
"25",25,28,570,4.682,95.318,598
"26",26,98,732,11.807,88.193,830
"27",27,33,922,3.455,96.545,955
"28",28,157,663,19.146,80.854,820
"29",29,73,763,8.732,91.268,836
"30",30,69,881,7.263,92.737,950
"31",31,109,848,11.39,88.61,957
"32",32,103,515,16.667,83.333,618
"33",33,146,746,16.368,83.632,892
"34",34,77,752,9.288,90.712,829
"35",35,159,791,16.737,83.263,950
"36",36,86,867,9.024,90.976,953
"37",37,220,611,26.474,73.526,831
"38",38,73,881,7.652,92.348,954
"39",39,121,832,12.697,87.303,953
"40",40,122,832,12.788,87.212,954
"41",41,99,822,10.749,89.251,921
"42",42,205,748,21.511,78.489,953
"43",43,94,501,15.798,84.202,595
"44",44,132,826,13.779,86.221,958
"45",45,186,760,19.662,80.338,946
"46",46,179,775,18.763,81.237,954
"47",47,141,813,14.78,85.22,954
"48",48,176,648,21.359,78.641,824
"49",49,93,862,9.738,90.262,955
"50",50,224,730,23.48,76.52,954
"51",51,94,743,11.231,88.769,837
"52",52,60,899,6.257,93.743,959
"53",53,254,704,26.514,73.486,958
"54",54,116,821,12.38,87.62,937
"55",55,158,798,16.527,83.473,956
"56",56,64,766,7.711,92.289,830
"57",57,94,612,13.314,86.686,706
"58",58,102,850,10.714,89.286,952
"59",59,166,784,17.474,82.526,950
"60",60,50,908,5.219,94.781,958
"61",61,71,886,7.419,92.581,957
"62",62,28,209,11.814,88.186,237
"63",63,96,610,13.598,86.402,706
"64",64,115,844,11.992,88.008,959
"65",65,134,684,16.381,83.619,818
"66",66,157,741,17.483,82.517,898
"67",67,44,794,5.251,94.749,838
"68",68,93,862,9.738,90.262,955
